C�DIGO,DESCRIPCI�N,,,A�O,LADO,ARRIBA,MEDIO,ABAJO,COSTADO
2000,NISSAN  PATROL JEEP PLANO (LAMINADO) /GOMA,1980,1980,80,B,141,38.5,141,38
2000,NISSAN SUNNY VAGONETA /GOMA,1996,1980,96,A,109,72,139,67.5
2000,NISSAN SUNNY AUTO 16600 /PEGADO,1987,1992,87-92,A,107,72.5,145,
2000,NISSAN SUNNY MEXICANNO 1500 P/REDONDA /GOMA,1978,1990,78-90,A,107,69,138,
2000,NISSAN DATSUN 160J 4 PUERTAS/PEGADO,1978,1980,78-80,,117,64,143,
2000,NISSAN PATROL JEEP VAGONETA /PEGADO,1997,1998,97-98,,130,63,158,59
2000,NISSAN SENTRA EX SALOON SUNNY/PEGADO,1990,1993,90-93,,108,78,142,77
2000,"NISSAN DATSUN 76-1200,AUTO 4 PUERTAS/GOMA",1976,1980,76-80,A,110,58,138.5,57
2000,NISSAN DATSUN MINI CAMIONETA/GOMA,1976,1984,76-84,A,112.5,52.5,133,51
2000,"NISSAN DATSUN 1200 AUTO HUEVO 4 PUERTAS, P/RED./GOMA",1976,1976,76,A,104,55.5,127,52
2000,NISSAN SUNNY VAGONETA 4 PUERTAS P/REDONDA/PEGADO,1991,1991,91,,116,84.5,142,76
2000,NISSAN DATSUN CAMIONETA 1300 /GOMA,1975,1978,75-78,B,121,56.5,141,
2000,NISSAN CIVILAN MICROBUS/GOMA,1977,1982,77-82,B,,,,
2000,NISSAN BLUEBIRD (CHICO)/PEGADO,1985,185,85,,,,,
2000,NISSAN TERRANO II VAGONETA 4 PUERTAS Y 2 PUERTAS/PEGADO,1995,1985,95,A/B,119,79.5,147,74
2000,NISSAN DATSUN 2 PUERTAS AUTO,1980,1985,80,,,,,
2000,NISSAN PULSAR AUTO 4 PUERTAS,1985,1985,85,B,101,79,139,
2000,NISSAN BLUEBIRD AUTO 4 PUERTAS/PEGADO,1980,1983,80-83,A,111,69.5,140,67
2000,"NISSAN SILVA S-X 200, AUTO 2 PUERTAS P/ESQ./PEGADO",1985,1980,85,,106,75,139,72
2000,NISSAN DATSUN VAGONETA,1978,1980,78-80,,,,,
2000,NISSAN VANETTE MINIBUS P/ESQ./GOMA,85/92,1994,85/92-94,A,111,81,139,78
2000,NISSAN JUNIOR CAMIONETA/GOMA,1976,1976,76,A,128,45,143,56
2000,NISSAN AUTO 2 PUERTAS DPT.,1987,1987,87,,,,,
2000,NISSAN PULSAR AUTO 2 PUERTAS P/RED./PEGADO,1986,1986,86,B,112,77.5,147,76
2000,NISSAN 300 ZX 2 PUERTAS,1985,1985,85,A,,,,
2000,NISSAN LAUREL ALTIMA 4 PUERTAS P/ESQ. CORTE AL MEDIO Y AL COSTADO/PEGADO,1989,1989,89,B,109,85.5,140,82
2000,NISSAN DATSUN 1600 AUTO 2 PUERTAS ,1980,1980,80,,,,,
2000,NISSAN STANZA VAG. 4 PUERTAS P/RED./PEGADO,1985,1988,85-88,A,112,75.5,146,72
2000,NISSAN LAUREL 4 PUERTAS AUTO CORTE AL COSTADO ABAJO/PEGADO,1985,1985,85,A,115,78,149,78
2000,NISSAN BLUEBIRD (GRANDE) CHICO/PEGADO,1988,1988,88,,112,76,144,CHICO
2000,NISSAN CARAVAN HOMY MINIBUS/GOMA,1980,1980,80,,,,,
2000,NISSAN LIBERTY VILLA AUTO 4 PUERTAS,1982,1982,82,,,,,
2000,NISSAN CEDRIC AUTO 4PUERTAS CORTE AL MEDIO,1991,2001,91/2001,B,113,84,152,
2000,NISSAN STANZA AUTO 4 PUERTAS/PEGADO,1983,1985,83-85,B,112,74.5,144,
2000,NISSAN PULSAR 2 PUERTAS P/ESQ.CORTE AL COSTADO ABAJO/PEGADO,1991,1992,91-92,B,105,,,
2000,NISSAN ATLAS 2000 CAMIONETA (CHICO)/GOMA ,1986,1986,86,A,133.5,68,154,
2000,NISSAN SKILINE VAGONETA 4 PUERTAS P/RED./PEGADO,1985,1988,85-88,A,,,,
2000,NISSAN DIESEL JICHI CONDOR CAMI�N (GRANDE)/GOMA,1989,1994,89-94,,203,82.5,216,77
2000,NISSAN CAMI�N CURVO/GOMA,1975,1975,75,,,,,
2000,NISSAN CHERRY MINIBUS (CHICO) JAPONES/GOMA,1984,1984,84,A/B,117,73.5,140,
2000,NISSAN CHERRY AUTO 4 PUERTAS (CHICO)/GOMA,1985,1985,85,,,,,
2000,NISSAN LIBERTY VILLA AUTO 4 PUERTAS,1988,1980,88,,104,80,140,
2000,NISSAN DIESEL CAMION /GOMA,1978,1980,78-80,A,193,68.5,207,65
2000,NISSAN VANETTE MINIBUS JAPONES/GOMA,1987,1990,87-90,,119,83,148,80
2000,,1900,1990,,,111,81,139,78
2000,NISSAN DATSUN 1200 AUTO 2 PUERTAS,1976,1976,76,,,,,
2000,NISSAN DATSUN TURBO AUTO 2 PUERTAS,1983,1983,83,,,,,
2000,NISSAN JUNIOR CAMIONETA/GOMA,1985,1985,85,A,131,57,147,56
2000,"NISSAN LIBERTY VILLA 4 PUERTAS, P/REDONDA ARRIBA Y ABAJO/PEGADO",1985,1985,85,B,102.5,80.5,140,77
2000,NISSAN BLUEBIRD AUTO 2 PUERTAS,1987,1987,87,,,,,
2000,NISSAN PULSAR MI-D AUTO 4 PUERTAS/PEGADO,1992,1994,92-94,A,102,80,140,
2000,NISSAN SKILINE AUTO 4 PUERTAS ,1985,1985,85,,,,,
2000,NISSAN PRESEA AUTO 4 PUERTAS P/RED./PEGADO,1990,1990,90,,110,77,153,70
2000,NISSAN SENTRA AUTO 4 PUERTAS P/ESQ./PEGADO,1994,1996,94-96,A,109.5,81.5,141,77
2000,NISSAN CONDOR V-D 180 CAMI�N (CHICO)/GOMA,1989,1989,89,,180,84,194,
2000,NISSAN ATLAS 350 CAMIONETA P/RED./GOMA,1990,1990,90,A,163,68,185,
2000,"NISSAN 200 SX, 2400 SX SILVA AUTO P/ESQ./PEGADO",1991,1991,91,B,110,78,146,75
2000,NISSAN PATHFINDER SE VAGONETA 4 PUERTAS P/ESQ. /PEGADO,1998,1998,98,B,119,75,135,71
2000,NISSAN PULSAR EXA AUTO 2 PUERTAS P/RED./PEGADO,1989,1989,89,A,110,77.5,146,73
2000,NISSAN ATLAS 150 CAMIONETA CURVO P/RED./GOMA,1995,1995,95,B/A,142,76.5,148,75
2000,NISSAN BLUEBIRD (USA) AUTO 4 PUERTAS (CHICO)/P ESQ./PEGADO,1987,1987,87,B,113,83.5,149,
2000,NISSAN AVENIR VAGONETA 4 PUERTAS/PEGADO,1992,1992,92,A,117.5,98,144,
2000,NISSAN PRAIRIE JOY L VAGONETA 4 PUERTAS,1994,1998,94/98,A,114,98,144,
2000,NISSAN AXXESS VAGONETA FURGON 4 PUERTAS SOLO /PEGADO,1992,1992,92,A,114,87.5,144,78
2000,NISSAN SENTRA AUTO 4 PUERTAS P/RED./PEGADO,1997,1997,97,,108,78,134,72
2000,NISSAN MARCH AUTO 2 PUERTAS P/RED./PEGADO,1996,1996,96,A,101,86.5,147,77
2000,NISSAN ALTIMA AUTO  P/ESQ./PEGADO,1994,2000,94/2000,A,118,81,143,77
2000,NISSAN PRIMERA AUTO 4 PUERTAS /PEGADO,1992,1992,92,B,111.5,,,
2000,NISSAN DIESEL CAMION GRANDE/GOMA,1998,1998,98,,,80,220,
2000,NISSAN DIESEL CAMION CHICO- GRANDE/GOMA,1998,1998,98,,180.5,82.4,195.6,87
2000,,1900,1900,,,190,81,212,
2000,NISSAN NIBOL T 50-4L CAMIONCITO,1998,1998,98,B,170,"72-71,5",182,68
